chemical,flammable,specific_gravity,cpvc,glass_filled_pp,pvdf,ryton_pps,etfe,ptfe,ss316,hastelloy_c276,titanium,carbon,ceramic,silicon_carbide,epdm,fkm,fep
"Phosphoric Acid, 10%",False,1.05,212,225,316,248,300,500,316,150,140,500,500,500,212,212,300
"Phosphoric Acid, 25%",False,,212,225,316,248,300,500,316,150,140,500,500,500,212,212,300
"Phosphoric Acid, 50%",False,1.34,212,225,316,248,275,500,221,150,NR,500,500,500,176,212,300
"Phosphoric Acid, 70%",False,1.53,212,225,316,248,275,500,221,200,NR,500,500,500,176,212,300
"Phosphoric Acid, 85%",False,1.69,212,212,316,248,275,500,150,150,NR,500,500,500,176,212,300
"Plating Solutions, Brass",False,,180,180,248,ND,275,500,140,100,100,100,NR,500,70,140,300
"Plating Solutions, Cadmium (Cyanide)",False,,180,180,248,70,275,500,140,90,90,70,500,500,70,140,300
"Plating Solutions, Chrome (Chromic Sulfuric)",False,,180,70,260,70,275,500,NR,NR,130,NR,500,500,70,140,300
"Plating Solutions, Copper (Sulfate)",False,,225,225,212,70,275,500,NR,NR,ND,70,500,500,200,140,300
"Plating Solutions, Gold (Cyanide)",False,,225,180,250,70,275,500,150,150,150,140,500,500,70,150,300
"Plating Solutions, Iron (Sulfate)",False,,180,175,200,ND,ND,500,NR,150,150,140,500,500,ND,140,300
"Plating Solutions, Lead (Alkali)",False,,180,180,250,70,250,500,70,70,NR,140,500,500,70,140,300
"Plating Solutions, Nickel (Chloride)",False,,180,225,250,70,250,500,70,160,160,480,500,500,70,140,300
"Plating Solutions, Rhodium",False,,212,180,250,70,250,500,ND,ND,ND,ND,500,500,120,70,300
"Plating Solutions, Silver",False,,180,180,250,70,250,500,140,120,120,140,500,500,120,140,300
"Plating Solutions, Speculum",False,,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,500,500,ND,ND,ND
"Plating Solutions, Tin (Acid & Fluoborate)",False,,180,180,212,70,250,500,70,125,NR,480,500,500,140,176,300
"Plating Solutions, Zinc (Acid Chloride)",False,,180,180,250,70,250,500,NR,NR,140,480,500,500,70,140,300
Potassium Aluminum Sulfate (Alum),False,,225,225,285,70,300,500,480,175,392,500,500,500,212,212,300
Potassium Bicarbonate,False,,180,70,275,200,300,500,480,130,70,500,500,500,176,212,300
Potassium Bisulfate,False,,180,250,285,ND,ND,500,70,ND,ND,ND,500,500,176,212,70
Potassium Bromide KBr,False,,180,180,285,200,300,500,185,70,200,480,NR,500,200,212,300
Potassium Chlorate,False,,180,212,212,200,300,500,673,480,200,200,500,500,200,200,300
Potassium Chloride KCl,False,,180,180,285,200,300,500,140,347,212,200,500,500,212,212,300
Potassium Cyanate KCNO,False,,ND,70,ND,70,ND,70,ND,ND,ND,ND,500,500,ND,ND,ND
Potassium Cyanide KCN,False,,180,180,285,200,300,500,140,140,200,500,NR,500,200,70,300
"Potassium Hydroxide, 25%",False,0.25,180,180,140,268,212,500,212,200,175,500,500,500,212,NR,300
"Potassium Hydroxide, 35%",False,0.35,180,180,NR,268,212,500,150,200,70,500,500,500,200,NR,300
"Fo Potassium Hydroxide, 50%",False,0.5,180,180,NR,268,212,500,150,200,70,500,500,500,200,NR,300
Potassium Permanganate,False,,180,70,250,200,300,500,130,70,200,480,500,500,200,140,300
"Potassium Permanganate, 10%",False,0.1,180,180,280,200,300,500,212,212,200,500,500,500,200,140,300
"Potassium Permanganate, 25%",False,0.25,180,180,280,200,300,500,70,212,200,500,500,500,200,140,300
Potassium Sulfite (Sulfurous Acid),False,,70,140,212,70,ND,300,70,375,185,70,500,500,70,70,300
Propanol (Propyl Alcohol),True,0.79,NR,NR,150,200,300,500,356,200,200,500,500,500,200,212,300
Propionic Acid,True,0.99,NR,NR,280,ND,212,500,340,286,NR,500,500,500,200,NR,122
Propyl Alcohol (propanol),True,0.79,NR,NR,150,200,300,500,356,200,200,500,500,500,200,212,300
Salicylic Acid,False,1.44,200,180,230,ND,300,500,212,258,248,500,500,500,200,70,300
Sea Water,False,1.03,212,225,285,200,300,500,250,300,213,340,500,500,200,212,300
"Silver Nitrate, 0-60%",False,,180,180,285,200,300,500,125,70,70,500,500,500,176,200,300
"Silver Nitrate, 100%",False,,180,180,285,100,300,500,125,200,200,500,500,500,176,200,300
Silver Sulfate,False,,180,140,250,ND,ND,ND,ND,ND,ND,ND,500,500,176,212,70
Sodium Benzoate,False,,180,NR,285,ND,300,500,ND,100,70,340,500,500,70,70,300
Sodium Bicarbonate,False,,180,180,285,300,300,500,150,150,200,500,500,500,212,212,300
Sodium Bichromate,False,,180,180,275,70,300,500,150,100,70,500,500,500,176,212,300
Sodium Bisulfate,False,,180,180,285,200,300,500,480,140,136,500,500,500,200,212,300
Sodium Bisulfite,False,,180,180,285,200,300,500,100,212,140,500,500,500,212,212,300
Sodium Borate,False,,176,212,275,300,300,500,150,200,200,500,500,500,140,176,300
Sodium Bromate,False,,185,175,280,ND,300,500,ND,ND,ND,ND,500,500,ND,ND,200
Sodium Bromide NaBr,False,,180,180,285,70,300,500,480,70,70,500,500,500,70,70,300
Sodium Carbonate (Soda Ash),False,,180,180,285,300,300,500,212,212,140,500,500,500,212,212,300
"Sodium Chlorate, 25%",False,0.25,180,180,285,210,300,500,70,212,70,130,500,500,200,200,300
"Sodium Chlorate, 50-60%",False,,180,180,285,210,300,500,NR,212,ND,ND,500,500,200,200,300
"Sodium Chlorate, 60-70%",False,,180,180,285,210,300,500,212,212,ND,ND,500,500,200,200,300
"Sodium Chlorate, 70-80%",False,,180,180,285,210,300,500,212,212,ND,ND,500,500,200,200,300
"Sodium Chlorate, 80-100%",False,,180,180,285,210,300,500,140,140,220,140,500,500,200,200,300
Sodium Chloride NaCl,False,,180,180,285,200,300,500,212,176,140,500,500,500,176,212,300
Sodium Chlorite,False,,ND,200,250,200,300,500,ND,ND,ND,ND,500,500,70,140,300
Sodium Chromate,False,,190,175,280,200,300,500,70,212,ND,340,500,500,ND,140,70
Sodium Cyanide NaCN,False,,180,180,275,70,300,500,140,200,200,500,500,500,176,176,300
Sodium Dichromate,False,,70,NR,120,ND,100,300,ND,ND,ND,ND,500,500,70,70,300
"Sodium Dithionite, 12%",False,0.12,ND,175,248,ND,300,480,230,230,ND,100,500,500,70,70,140
Sodium Dithionite Solution (sodium hydrosulfite ),False,,70,175,248,ND,300,480,480,70,ND,100,500,500,70,70,140
Sodium Ferricyanide,False,,180,180,275,ND,300,500,70,70,ND,340,500,500,140,140,300
Sodium Ferrocyanide,False,,180,180,275,ND,300,500,70,70,ND,100,500,500,140,140,300
"Sodium Fluoride, 5%",False,,180,180,285,ND,ND,ND,70,70,70,100,500,500,140,140,300
Sodium Fluoride NaF,False,,180,180,285,ND,300,500,NR,200,ND,340,500,500,140,140,300
Sodium Fluorosilicate,False,,ND,70,200,ND,ND,ND,80,ND,ND,ND,500,500,ND,ND,ND
Fo Sodium Formate (Formic Acid),False,,70,70,214,ND,275,500,212,200,140,340,500,500,NR,70,300
Sodium Hydrogen Phosphate (sodium phosphate dibasic ),False,,180,180,280,ND,140,500,480,212,70,500,500,500,140,140,300
"Sodium Hydroxide, 10%",False,0.1,180,180,NR,140,250,500,248,225,2534,275,500,500,176,NR,300
"Sodium Hydroxide, 15%",False,0.15,180,180,NR,140,250,500,248,225,2534,275,500,500,176,NR,300
"Sodium Hydroxide, 25%",False,0.25,180,180,NR,140,250,500,212,200,2534,275,500,500,176,NR,300
"Sodium Hydroxide, 30%",False,0.3,180,180,NR,140,250,500,212,200,200,275,500,500,212,NR,300
"Sodium Hydroxide, 50%",False,0.5,180,180,NR,140,250,500,212,200,200,275,500,500,212,NR,300
"Sodium Hypochlorite, 5%",False,0.05,212,NR,275,NR,300,500,160,140,ND,NR,500,500,70,130,300
"Sodium Hypochlorite, 12.5%",False,1.21,212,NR,275,NR,300,500,NR,140,180,NR,500,500,70,130,300
Sodium Iodide NaI,False,,212,175,280,ND,300,500,ND,ND,ND,ND,500,500,ND,ND,300
Sodium Metaphosphate (sodium hexametaphosphate),False,1.2,180,175,280,ND,300,480,70,ND,ND,500,500,500,212,140,300
Sodium Nitrate,False,,180,180,280,200,300,500,170,140,70,500,500,500,200,212,70
Sodium Nitrite,False,,180,180,280,ND,300,500,150,70,70,500,500,500,176,212,300
"Sodium Perchlorate, 10%",False,0.1,190,180,250,ND,300,350,ND,212,ND,200,500,500,ND,ND,ND
Sodium Permanganate,False,0.2,212,212,285,70,300,500,480,212,ND,350,500,500,140,1214,300
"Sodium Phosphate, Acid, Monobasic",False,,185,180,280,ND,300,500,480,212,70,500,500,500,140,140,300
"Sodium Phosphate, Alkaline, Tribasic",False,,185,180,280,ND,300,480,480,212,70,500,500,500,140,140,300
"Sodium Phosphate, Neutral, Dibasic MSDS",False,,180,180,280,ND,300,500,480,212,70,500,500,500,140,140,300
Sodium Silicate,False,0.35,180,180,285,200,300,500,212,212,70,500,500,500,200,212,300
Sodium Sulfate,False,,180,180,285,200,300,500,1600,200,200,500,500,500,200,212,300
Sodium Sulfide,False,,180,180,280,200,300,500,480,176,212,200,500,500,212,212,300
Sodium Sulfite,False,,212,225,280,70,300,ND,480,235,150,70,500,500,176,176,300
Stannic Chloride,False,,180,180,285,200,300,500,NR,240,302,340,500,500,140,140,70
Stannous Chloride,False,,180,180,248,70,300,500,150,212,70,70,500,500,NR,70,400
Stearic Acid,False,0.87,180,150,285,ND,300,500,482,662,360,500,500,500,140,140,300
Stoddards Solvent,True,0.79,NR,NR,275,200,300,500,70,200,200,500,500,500,NR,158,300
